OldTemplateId,OldTemplateName,OldFieldName,NewFieldName,NewTemplateId,NewTemplateName,DirectValue
{BF4A3B5B-C784-480C-8D77-9909D656B329},My Content Page,Meta Description,description,{4E171202-0463-435C-B607-6CDA81B2F59C},Blog Page,
{BF4A3B5B-C784-480C-8D77-9909D656B329},My Content Page,Browser Title,browserTitle,{4E171202-0463-435C-B607-6CDA81B2F59C},Blog Page,
{BF4A3B5B-C784-480C-8D77-9909D656B329},My Content Page,Meta Keywords,MetaKeywords,{4E171202-0463-435C-B607-6CDA81B2F59C},Blog Page,
{BF4A3B5B-C784-480C-8D77-9909D656B329},My Content Page,Twitter Title,TwitterTitle,{4E171202-0463-435C-B607-6CDA81B2F59C},Blog Page,
{BF4A3B5B-C784-480C-8D77-9909D656B329},My Content Page,Twitter Description,TwitterDescription,{4E171202-0463-435C-B607-6CDA81B2F59C},Blog Page,
{BF4A3B5B-C784-480C-8D77-9909D656B329},My Content Page,Menu Title,NavigationTitle,{4E171202-0463-435C-B607-6CDA81B2F59C},Blog Page,yes
{BF4A3B5B-C784-480C-8D77-9909D656B329},My Content Page,1,showProductFilter,{4E171202-0463-435C-B607-6CDA81B2F59C},Blog Page,yes
{BF4A3B5B-C784-480C-8D77-9909D656B329},My Content Page,1,showResourceFilter,{4E171202-0463-435C-B607-6CDA81B2F59C},Blog Page,
{2509B8BE-C717-431E-8CB9-28B77699B5D4},Hero Banner,Header,header,{78D6EA0E-D41F-4403-BBC4-821BE8D4D917},Dynamic Hero,
{2509B8BE-C717-431E-8CB9-28B77699B5D4},Hero Banner,SubHeader,subHeader,{78D6EA0E-D41F-4403-BBC4-821BE8D4D917},Dynamic Hero,
{2509B8BE-C717-431E-8CB9-28B77699B5D4},Hero Banner,Sub Text,subText,{78D6EA0E-D41F-4403-BBC4-821BE8D4D917},Dynamic Hero,
{2509B8BE-C717-431E-8CB9-28B77699B5D4},Hero Banner,Background Color,backgroundColor,{78D6EA0E-D41F-4403-BBC4-821BE8D4D917},Dynamic Hero,
